analysis_set_id	input_file_sets	measurement_sets	associated_auxiliary_sets
IGVFDS4389OUWU	IGVFDS3231RKUL	IGVFDS4852MAUM	/auxiliary-sets/IGVFDS6861GRJI/,/auxiliary-sets/IGVFDS5228AHGR/
IGVFDS4389OUWU	IGVFDS2378SIVI	IGVFDS7733OTCA	/auxiliary-sets/IGVFDS0997MTQA/,/auxiliary-sets/IGVFDS7027VRZT/
IGVFDS4389OUWU	IGVFDS7715GHKL	IGVFDS2628PYOH	/auxiliary-sets/IGVFDS8139DLEM/,/auxiliary-sets/IGVFDS0109SCQO/
IGVFDS4389OUWU	IGVFDS8280DBSV	IGVFDS7834BXBN	/auxiliary-sets/IGVFDS8280AMDA/,/auxiliary-sets/IGVFDS6231TYIS/
